package,old,new,delta
r2dii.match,0.0.3,0.0.3.9001,*
assertthat,0.2.1,0.2.1,
cli,2.0.2,2.0.2,
cpp11,0.2.1,0.2.1,
crayon,1.3.4,1.3.4,
data.table,NA,1.13.0,*
digest,0.6.25,0.6.25,
dplyr,1.0.1,1.0.1,
ellipsis,0.3.1,0.3.1,
fansi,0.4.1,0.4.1,
generics,0.0.2,0.0.2,
glue,1.4.1,1.4.1,
lifecycle,0.2.0,0.2.0,
magrittr,1.5,1.5,
pillar,1.4.6,1.4.6,
pkgconfig,2.0.3,2.0.3,
purrr,0.3.4,0.3.4,
r2dii.data,0.1.2,0.1.2,
R6,2.4.1,2.4.1,
rlang,0.4.7,0.4.7,
stringdist,0.9.6,0.9.6,
stringi,1.4.6,1.4.6,
tibble,3.0.3,3.0.3,
tidyr,1.1.1,1.1.1,
tidyselect,1.1.0,1.1.0,
utf8,1.1.4,1.1.4,
vctrs,0.3.2,0.3.2,
